Name,Company,Cell Type,Cap (mAh),Continuous C-Rate,Max C Rate,Cells (S),Cells (P),Max Voltage per cell,Min Voltage per cell,Weight (Kg),Price ($),Energy Density (Wh/Kg),Energy per dollar (Wh/Price),Link,Discription
TATTU Semi-solid 17000mAh 5C 22.2V 6S1P G-Tech Lipo Battery with XT90S-F,TATTU,Semi-Solid LiPo,17000,3,5,6,1,4.2,2.75,1.44,344,297.5,1245.35,https://genstattu.com/tattu-semi-solid-17000mah-5c-22-2v-6s1p-g-tech-lipo-battery-with-xt90s-f/,
Tattu Semi-Solid State 20000mAh 6S 5C 22.2V Lipo Battery Pack with XT90S Plug,TATTU,Semi-Solid LiPo,20000,3,5,6,1,4.2,2.75,1.82,420,276.92,1200,https://genstattu.com/tattu-semi-solid-state-20000mah-6s-5c-22-2v-lipo-battery-pack-with-xt90s-plug/,
TATTU�Semi-solid 22000mAh-5C-22.2V 6S1P XT90S-F G-Tech Lipo Battery,TATTU,Semi-Solid LiPo,22000,3,5,6,1,4.2,2.75,2.25,444,246.4,1248.65,https://genstattu.com/tattu-semi-solid-22000mah-5c-22-2v-6s1p-xt90s-f-g-tech-lipo-battery/,
Tattu Semi-Solid State 28000mAh 6S 5C 22.2V Lipo Battery Pack with XT90S plug,TATTU,Semi-Solid LiPo,28000,3,5,6,1,4.2,2.75,2.5,498,282.24,1416.87,https://genstattu.com/tattu-semi-solid-state-28000mah-6s-5c-22-2v-lipo-battery-pack-with-xt90s-plug/,
Tattu�Semi-Solid State�30000mAh 22.2V 5C 6S1P G-Tech Lipo Battery Pack with XT90-S plug,TATTU,Semi-Solid LiPo,30000,3,5,6,1,4.2,2.75,2.525,603,299.41,1253.73,https://genstattu.com/tattu-semi-solid-state-30000mah-22-2v-5c-6s1p-g-tech-lipo-battery-pack-with-xt90-s-plug/,
TATTU Semi-solid 30000mAh 5C 44.4V 12S1P G-Tech Lipo Battery Pack with AS150U-F,TATTU,Semi-Solid LiPo,30000,3,5,12,1,4.2,2.75,4.9,1210,308.57,1249.59,https://genstattu.com/tattu-semi-solid-30000mah-5c-44-4v-12s1p-g-tech-lipo-battery-pack-with-as150u-f/,
TATTU G-Tech Ultra High Voltage 17000mAh 5C 23.7V 6S1P XT90S-F Lipo Battery,TATTU,Ultra High Voltage LiPo,17000,3,5,6,1,4.45,3,1.76,342,257.9,1327.19,https://genstattu.com/tattu-g-tech-ultra-high-voltage-17000mah-5c-23-7v-6s1p-xt90s-f-lipo-battery/,
TATTU G-Tech Ultra High Voltage 22000mAh 5C 23.7V 6S1P XT90S-F Lipo Battery,TATTU,Ultra High Voltage LiPo,22000,3,5,6,1,4.45,3,2.27,443.51,258.77,1324.43,https://genstattu.com/tattu-g-tech-ultra-high-voltage-22000mah-5c-23-7v-6s1p-xt90s-f-lipo-battery/,
TATTU G-Tech Ultra High Voltage 32000mAh 5C 23.7V 6S1P XT90S-F Lipo Battery,TATTU,Ultra High Voltage LiPo,32000,3,5,6,1,4.45,3,3.22,646.46,265.34,1321.66,https://genstattu.com/tattu-g-tech-ultra-high-voltage-32000mah-5c-23-7v-6s1p-xt90s-f-lipo-battery/,The price of this product seems to be wrong on the website; it changed to 646.46 from 464.64. Reason: Energy per dollar consistency
TATTU G-Tech Ultra High Voltage 41000mAh 5C 23.7V 6S1P XT90S-F Lipo Battery,TATTU,Ultra High Voltage LiPo,41000,3,5,6,1,4.45,3,3.79,824.64,288.84,1327.49,https://genstattu.com/tattu-g-tech-ultra-high-voltage-41000mah-5c-23-7v-6s1p-xt90s-f-lipo-battery/,
TATTU Ultra High Voltage 41000mAh 5C 47.4V 12S1P AS150U-F Lipo Battery,TATTU,Ultra High Voltage LiPo,41000,3,5,12,1,4.45,3,7.25,1649.28,301.99,1327.49,https://genstattu.com/tattu-ultra-high-voltage-41000mah-5c-47-4v-12s1p-as150u-f-lipo-battery/,
Tattu NEO 30000mah 47.4V 5C 12S1P Ultra High Voltage Smart Battery With Prolanv Side Connector,TATTU,Ultra High Voltage LiPo,30000,3,5,12,1,4.45,3,5.95,1000,269.24,1602,https://genstattu.com/tattu-neo-30000mah-47-4v-5c-12s1p-ultra-high-voltage-smart-battery-with-prolanv-side-connector/,
