Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",40%,47.94,2096,0.74,3.30,1599,158,13.25,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",42%,47.93,2318,0.81,3.72,1659,178,13.01,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",44%,47.92,2503,0.87,4.10,1715,196,12.75,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",46%,47.90,2678,0.93,4.54,1772,218,12.30,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",48%,47.89,2886,1.00,5.00,1830,239,12.05,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",50%,47.88,3050,1.07,5.48,1890,262,11.63,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",52%,47.87,3247,1.13,5.94,1944,284,11.42,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",54%,47.86,3455,1.19,6.42,2001,307,11.24,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",56%,47.84,3733,1.29,7.32,2095,350,10.67,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",58%,47.83,3901,1.35,7.84,2144,375,10.40,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",60%,47.82,4061,1.41,8.33,2187,398,10.19,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",62%,47.80,4292,1.48,8.97,2241,429,10.01,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",64%,47.79,4506,1.55,9.64,2287,461,9.78,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",66%,47.78,4710,1.63,10.27,2337,491,9.60,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",68%,47.76,4918,1.70,11.01,2382,526,9.35,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",70%,47.74,5106,1.77,11.73,2431,560,9.12,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",80%,47.66,6143,2.12,15.49,2658,738,8.32,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",90%,47.57,7130,2.46,19.68,2869,936,7.62,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G30*10.5",100%,47.44,8459,2.92,26.03,3116,1235,6.85,93 (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",40%,47.91,2607,0.98,4.23,1559,203,12.87,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",42%,47.90,2854,1.06,4.73,1608,226,12.61,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",44%,47.89,3068,1.14,5.24,1666,251,12.23,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",46%,47.87,3247,1.20,5.69,1716,272,11.92,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",48%,47.86,3463,1.28,6.23,1772,298,11.61,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",50%,47.85,3691,1.36,6.82,1827,326,11.31,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",52%,47.83,3880,1.43,7.40,1880,354,10.96,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",54%,47.82,4105,1.51,7.97,1930,381,10.77,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",56%,47.81,4327,1.59,8.63,1983,413,10.49,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",58%,47.79,4586,1.68,9.41,2033,450,10.20,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",60%,47.76,4962,1.82,10.68,2105,510,9.73,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",62%,47.75,5215,1.90,11.45,2144,546,9.54,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",64%,47.73,5367,1.96,12.07,2191,576,9.31,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",66%,47.72,5590,2.05,12.88,2232,615,9.09,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",68%,47.70,5823,2.13,13.70,2280,654,8.91,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",70%,47.68,6015,2.20,14.45,2321,689,8.73,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",80%,47.58,7091,2.59,18.95,2514,902,7.86,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",90%,47.48,8071,2.95,23.75,2688,1128,7.16,HOT (Ambient Temperature: 23℃)
MN1005 V2.0 KV90,T-MOTOR G32*11",100%,47.33,9323,3.40,30.76,2882,1456,6.40,HOT (Ambient Temperature: 23℃)
