Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g / W),Operating Temperature (℃)
MN1010- KV90,G32*11,40%,44.05,1864,0.72,3.10,1368,137,13.66,58℃
MN1010- KV90,G32*11,45%,44.01,2381,0.90,4.13,1518,182,13.11,58℃
MN1010- KV90,G32*11,50%,43.97,2874,1.07,5.21,1658,229,12.55,58℃
MN1010- KV90,G32*11,55%,43.90,3354,1.24,6.40,1786,281,11.94,58℃
MN1010- KV90,G32*11,60%,43.82,3957,1.46,8.25,1936,361,10.95,58℃
MN1010- KV90,G32*11,65%,43.77,4658,1.72,10.14,2089,444,10.49,58℃
MN1010- KV90,G32*11,70%,43.67,5405,1.99,12.60,2245,550,9.82,58℃
MN1010- KV90,G32*11,75%,43.59,6208,2.27,15.15,2393,661,9.40,58℃
MN1010- KV90,G32*11,80%,43.51,6930,2.56,17.99,2528,783,8.85,58℃
MN1010- KV90,G32*11,90%,43.33,8628,3.16,24.61,2797,1066,8.09,58℃
MN1010- KV90,G32*11,100%,43.14,10313,3.77,32.62,3091,1407,7.33,58℃
MN1010- KV90,G34*11.5,40%,44.00,2310,0.92,3.70,1345,163,14.18,75℃
MN1010- KV90,G34*11.5,45%,43.94,2893,1.15,4.97,1493,218,13.26,75℃
MN1010- KV90,G34*11.5,50%,43.86,3465,1.36,6.45,1627,283,12.26,75℃
MN1010- KV90,G34*11.5,55%,43.80,4033,1.58,7.86,1749,344,11.72,75℃
MN1010- KV90,G34*11.5,60%,43.63,4766,1.85,10.05,1894,438,10.87,75℃
MN1010- KV90,G34*11.5,65%,43.52,5564,2.14,12.36,2031,538,10.34,75℃
MN1010- KV90,G34*11.5,70%,43.43,6468,2.50,15.41,2187,669,9.66,75℃
MN1010- KV90,G34*11.5,75%,43.36,7324,2.83,18.42,2326,798,9.17,75℃
MN1010- KV90,G34*11.5,80%,43.28,8251,3.18,22.02,2460,953,8.66,75℃
MN1010- KV90,G34*11.5,90%,43.05,9970,3.84,29.52,2716,1271,7.85,75℃
MN1010- KV90,G34*11.5,100%,42.77,12061,4.63,39.71,2990,1698,7.10,75℃
MN1010- KV90,G32*11,40%,49.79,2574,0.97,4.23,1557,210,12.25,77℃
MN1010- KV90,G32*11,45%,49.74,3245,1.20,5.47,1746,272,11.93,77℃
MN1010- KV90,G32*11,50%,49.71,3925,1.45,7.25,1920,360,10.90,77℃
MN1010- KV90,G32*11,55%,49.69,4725,1.74,9.28,2094,461,10.25,77℃
MN1010- KV90,G32*11,60%,49.61,5420,2.00,11.25,2244,558,9.71,77℃
MN1010- KV90,G32*11,65%,49.58,6192,2.27,13.61,2397,675,9.17,77℃
MN1010- KV90,G32*11,70%,49.53,7010,2.57,16.38,2548,811,8.64,77℃
MN1010- KV90,G32*11,75%,49.46,7938,2.92,19.64,2704,971,8.17,77℃
MN1010- KV90,G32*11,80%,49.40,9039,3.29,23.46,2870,1159,7.80,77℃
MN1010- KV90,G32*11,90%,49.24,11154,4.05,32.24,3180,1588,7.03,77℃
MN1010- KV90,G32*11,100%,49.07,13541,4.90,42.76,3469,2098,6.45,77℃
MN1010- KV90,G34*11.5,40%,49.75,3228,1.27,5.22,1535,260,12.44,97℃
MN1010- KV90,G34*11.5,45%,49.71,4074,1.59,7.02,1719,349,11.69,97℃
MN1010- KV90,G34*11.5,50%,49.64,4889,1.91,9.30,1887,462,10.59,97℃
MN1010- KV90,G34*11.5,55%,49.60,5824,2.27,11.95,2047,593,9.83,97℃
MN1010- KV90,G34*11.5,60%,49.56,6707,2.61,14.35,2190,711,9.43,97℃
MN1010- KV90,G34*11.5,65%,49.53,7631,2.97,17.30,2328,857,8.91,97℃
MN1010- KV90,G34*11.5,70%,49.44,8645,3.36,21.07,2469,1042,8.30,97℃
MN1010- KV90,G34*11.5,75%,49.34,9800,3.79,25.23,2617,1245,7.87,97℃
MN1010- KV90,G34*11.5,80%,49.28,11026,4.28,30.18,2766,1487,7.41,97℃
MN1010- KV90,G34*11.5,90%,49.06,13783,5.34,42.29,3059,2075,6.64,97℃
MN1010- KV90,G34*11.5,100%,48.83,16341,6.38,56.08,3316,2738,5.97,97℃
MN1010- KV135,G32*11,40%,43.79,3708,1.40,8.27,1893,362,10.24,HOT
MN1010- KV135,G32*11,45%,43.66,4744,1.76,11.34,2114,495,9.58,HOT
MN1010- KV135,G32*11,50%,43.55,5986,2.19,15.39,2346,670,8.93,HOT
MN1010- KV135,G32*11,55%,43.42,7207,2.64,20.10,2568,873,8.26,HOT
MN1010- KV135,G32*11,60%,43.30,8433,3.08,25.20,2763,1091,7.73,HOT
MN1010- KV135,G32*11,65%,43.15,9608,3.51,30.73,2953,1326,7.24,HOT
MN1010- KV135,G32*11,70%,43.00,10738,3.92,36.57,3126,1573,6.83,HOT
MN1010- KV135,G32*11,75%,42.84,12023,4.39,43.58,3315,1867,6.44,HOT
MN1010- KV135,G32*11,80%,42.64,13308,4.86,51.29,3490,2187,6.08,HOT
MN1010- KV135,G32*11,90%,42.03,15897,5.81,69.29,3806,2912,5.46,HOT
MN1010- KV135,G32*11,100%,41.86,17155,6.29,78.42,3943,3283,5.23,HOT
MN1010- KV135,G30*10.5,40%,49.24,3948,1.41,8.52,2174,420,9.41,120℃
MN1010- KV135,G30*10.5,45%,49.18,5101,1.81,11.96,2461,588,8.67,120℃
MN1010- KV135,G30*10.5,50%,49.10,6307,2.25,16.17,2732,794,7.95,120℃
MN1010- KV135,G30*10.5,55%,49.02,7523,2.68,20.72,2978,1016,7.41,120℃
MN1010- KV135,G30*10.5,60%,48.93,8702,3.10,25.83,3197,1264,6.89,120℃
MN1010- KV135,G30*10.5,65%,48.83,9906,3.52,31.30,3412,1528,6.48,120℃
MN1010- KV135,G30*10.5,70%,48.71,11320,4.03,38.16,3626,1859,6.09,120℃
MN1010- KV135,G30*10.5,75%,48.59,12616,4.47,44.84,3819,2179,5.79,120℃
MN1010- KV135,G30*10.5,80%,48.45,14126,5.02,53.52,4034,2593,5.45,120℃
MN1010- KV135,G30*10.5,90%,48.09,17193,6.13,73.82,4422,3549,4.84,120℃
MN1010- KV135,G30*10.5,100%,47.88,18739,6.67,84.83,4587,4062,4.61,120℃
MN1010- KV135,G32*11,40%,49.20,4943,1.82,10.57,2131,520,9.50,HOT
MN1010- KV135,G32*11,45%,49.13,6341,2.31,14.70,2403,722,8.78,HOT
MN1010- KV135,G32*11,50%,49.02,7790,2.83,19.80,2661,971,8.03,HOT
