Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN2806 EVO,P12,30%,16.04,161.96,0.03,0.69,2620,11.03,14.68,/
MN2806 EVO,P12,35%,16.03,214.53,0.04,0.99,2990,15.91,13.49,/
MN2806 EVO,P12,40%,16.02,288.66,0.05,1.49,3445,23.88,12.09,/
MN2806 EVO,P12,45%,16.01,358.77,0.06,2.04,3824,32.72,10.99,/
MN2806 EVO,P12,50%,16.00,431.93,0.07,2.65,4184,42.42,10.18,/
MN2806 EVO,P12,55%,15.99,510.53,0.08,3.38,4542,54.03,9.45,/
MN2806 EVO,P12,60%,15.97,593.18,0.10,4.19,4887,66.88,8.87,/
MN2806 EVO,P12,65%,15.95,680.02,0.11,5.16,5236,82.25,8.27,/
MN2806 EVO,P12,70%,15.93,766.48,0.12,6.19,5558,98.66,7.77,/
MN2806 EVO,P12,75%,15.91,854.42,0.14,7.31,5863,116.21,7.35,/
MN2806 EVO,P12,80%,15.88,947.68,0.15,8.57,6164,136.05,6.97,/
MN2806 EVO,P12,85%,15.86,1036.95,0.17,9.90,6448,157.02,6.60,/
MN2806 EVO,P12,90%,15.83,1126.54,0.18,11.32,6716,179.17,6.29,/
MN2806 EVO,P12,95%,15.80,1212.80,0.19,12.77,6958,201.86,6.01,/
MN2806 EVO,P12,100%,15.78,1275.96,0.20,13.95,7131,220.12,5.80,/
MN2806 EVO,P13,30%,16.04,186.98,0.03,0.78,2563,12.48,15.00,/
MN2806 EVO,P13,35%,16.03,247.73,0.04,1.15,2911,18.50,13.40,/
MN2806 EVO,P13,40%,16.02,335.22,0.06,1.75,3343,28.05,11.96,/
MN2806 EVO,P13,45%,16.00,419.61,0.07,2.40,3711,38.41,10.93,/
MN2806 EVO,P13,50%,15.99,501.17,0.08,3.08,4046,49.26,10.18,/
MN2806 EVO,P13,55%,15.97,591.89,0.10,3.97,4393,63.44,9.33,/
MN2806 EVO,P13,60%,15.96,678.03,0.11,4.85,4699,77.42,8.76,/
MN2806 EVO,P13,65%,15.94,775.62,0.13,5.93,5016,94.49,8.21,/
MN2806 EVO,P13,70%,15.91,867.18,0.14,7.06,5307,112.34,7.72,/
MN2806 EVO,P13,75%,15.89,961.47,0.16,8.33,5582,132.37,7.26,/
MN2806 EVO,P13,80%,15.86,1058.89,0.17,9.74,5845,154.44,6.86,/
MN2806 EVO,P13,85%,15.83,1153.05,0.19,11.20,6092,177.27,6.50,/
MN2806 EVO,P13,90%,15.80,1244.47,0.20,12.73,6320,201.21,6.18,/
MN2806 EVO,P13,95%,15.77,1332.54,0.22,14.30,6530,225.59,5.91,/
MN2806 EVO,P13,100%,15.75,1389.45,0.23,15.48,6679,243.81,5.70,/
