Item No.,Prop,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Inputpower (W),Efficiency (g/W),Operating Temperature ℃)
MN2806 KV400,T-MOTOR P12*4,40%,23.59,230,0.04,0.76,3080,17.85,12.91,45℃
MN2806 KV400,T-MOTOR P12*4,45%,23.54,282,0.05,1.00,3417,23.62,11.93,45℃
MN2806 KV400,T-MOTOR P12*4,50%,23.46,344,0.06,1.32,3755,30.94,11.11,45℃
MN2806 KV400,T-MOTOR P12*4,55%,23.33,398,0.07,1.63,4036,37.94,10.50,45℃
MN2806 KV400,T-MOTOR P12*4,60%,23.28,458,0.08,2.00,4319,46.61,9.83,45℃
MN2806 KV400,T-MOTOR P12*4,65%,23.16,511,0.08,2.38,4571,55.18,9.26,45℃
MN2806 KV400,T-MOTOR P12*4,70%,23.12,568,0.09,2.83,4837,65.34,8.70,45℃
MN2806 KV400,T-MOTOR P12*4,75%,23.09,642,0.10,3.34,5094,77.08,8.33,45℃
MN2806 KV400,T-MOTOR P12*4,80%,23.01,705,0.11,3.84,5337,88.41,7.97,45℃
MN2806 KV400,T-MOTOR P12*4,85%,22.93,774,0.12,4.45,5594,101.97,7.59,45℃
MN2806 KV400,T-MOTOR P12*4,90%,22.91,845,0.14,5.10,5838,116.77,7.24,45℃
MN2806 KV400,T-MOTOR P12*4,95%,22.90,915,0.14,5.78,6068,132.32,6.91,45℃
MN2806 KV400,T-MOTOR P12*4,100%,22.86,958,0.15,6.30,6235,144.03,6.65,45℃
MN2806 KV400,T-MOTOR P13*4.4,40%,23.63,262,0.04,0.86,2991,20.38,12.85,52℃
MN2806 KV400,T-MOTOR P13*4.4,45%,23.60,325,0.05,1.14,3299,26.83,12.11,52℃
MN2806 KV400,T-MOTOR P13*4.4,50%,23.57,398,0.07,1.50,3632,35.42,11.24,52℃
MN2806 KV400,T-MOTOR P13*4.4,55%,23.53,458,0.07,1.88,3908,44.21,10.36,52℃
MN2806 KV400,T-MOTOR P13*4.4,60%,23.43,531,0.09,2.32,4184,54.29,9.78,52℃
MN2806 KV400,T-MOTOR P13*4.4,65%,23.25,592,0.10,2.75,4416,63.91,9.26,52℃
MN2806 KV400,T-MOTOR P13*4.4,70%,23.17,660,0.11,3.27,4664,75.78,8.71,52℃
MN2806 KV400,T-MOTOR P13*4.4,75%,23.14,729,0.12,3.82,4902,88.36,8.25,52℃
MN2806 KV400,T-MOTOR P13*4.4,80%,23.09,798,0.13,4.40,5126,101.53,7.86,52℃
MN2806 KV400,T-MOTOR P13*4.4,85%,23.11,875,0.14,5.07,5357,117.10,7.47,52℃
MN2806 KV400,T-MOTOR P13*4.4,90%,23.11,947,0.15,5.80,5573,134.10,7.06,52℃
MN2806 KV400,T-MOTOR P13*4.4,95%,23.07,1018,0.16,6.56,5777,151.45,6.72,52℃
MN2806 KV400,T-MOTOR P13*4.4,100%,23.05,1068,0.17,7.10,5902,163.53,6.53,52℃
MN2806 KV650,T-MOTOR P12*4,40%,15.47,237,0.04,1.21,3138,18.75,12.66,55℃
MN2806 KV650,T-MOTOR P12*4,45%,15.44,314,0.05,1.77,3589,27.41,11.47,55℃
MN2806 KV650,T-MOTOR P12*4,50%,15.43,361,0.06,2.19,3851,33.73,10.71,55℃
MN2806 KV650,T-MOTOR P12*4,55%,15.41,438,0.07,2.89,4236,44.49,9.85,55℃
MN2806 KV650,T-MOTOR P12*4,60%,15.39,492,0.07,3.39,4469,52.23,9.43,55℃
MN2806 KV650,T-MOTOR P12*4,65%,15.37,568,0.09,4.21,4802,64.76,8.78,55℃
MN2806 KV650,T-MOTOR P12*4,70%,15.35,631,0.10,4.93,5054,75.60,8.34,55℃
MN2806 KV650,T-MOTOR P12*4,75%,15.32,714,0.11,6.01,5384,92.08,7.75,55℃
MN2806 KV650,T-MOTOR P12*4,80%,15.30,772,0.12,6.77,5584,103.58,7.45,55℃
MN2806 KV650,T-MOTOR P12*4,85%,15.27,865,0.14,8.07,5895,123.26,7.02,55℃
MN2806 KV650,T-MOTOR P12*4,90%,15.25,919,0.14,8.95,6083,136.53,6.73,55℃
MN2806 KV650,T-MOTOR P12*4,95%,15.21,999,0.17,10.36,6345,157.65,6.34,55℃
MN2806 KV650,T-MOTOR P12*4,100%,15.20,1036,0.17,11.04,6456,167.82,6.17,55℃
MN2806 KV650,T-MOTOR P13*4.4,40%,15.51,269,0.04,1.32,2994,20.44,13.16,65℃
MN2806 KV650,T-MOTOR P13*4.4,45%,15.51,346,0.06,1.88,3371,29.13,11.87,65℃
MN2806 KV650,T-MOTOR P13*4.4,50%,15.43,417,0.07,2.48,3694,38.30,10.89,65℃
MN2806 KV650,T-MOTOR P13*4.4,55%,15.42,485,0.08,3.13,3989,48.20,10.06,65℃
MN2806 KV650,T-MOTOR P13*4.4,60%,15.39,557,0.09,3.88,4278,59.69,9.34,65℃
