Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN3515 KV400,22.2,T-MOTOR 14*4.8CF,50%,3.4,75.48,780,4300,10.33,/
MN3515 KV400,22.2,T-MOTOR 14*4.8CF,65%,6.3,139.86,1180,5400,8.44,/
MN3515 KV400,22.2,T-MOTOR 14*4.8CF,75%,8.5,188.70,1480,5900,7.84,/
MN3515 KV400,22.2,T-MOTOR 14*4.8CF,85%,11.4,253.08,1800,6500,7.11,/
MN3515 KV400,22.2,T-MOTOR 14*4.8CF,100%,13.7,304.14,2010,6950,6.61,/
MN3515 KV400,22.2,T-MOTOR 15*5CF,50%,4.3,95.46,970,4200,10.16,/
MN3515 KV400,22.2,T-MOTOR 15*5CF,65%,7.9,175.38,1470,5200,8.38,/
MN3515 KV400,22.2,T-MOTOR 15*5CF,75%,11.6,257.52,1880,5700,7.30,/
MN3515 KV400,22.2,T-MOTOR 15*5CF,85%,14.5,321.90,2200,6200,6.83,/
MN3515 KV400,22.2,T-MOTOR 15*5CF,100%,17.2,381.84,2460,6500,6.44,/
MN3515 KV400,22.2,T-MOTOR 16*5.4CF,50%,5.2,115.44,1180,4050,10.22,/
MN3515 KV400,22.2,T-MOTOR 16*5.4CF,65%,9.4,208.68,1730,4850,8.29,/
MN3515 KV400,22.2,T-MOTOR 16*5.4CF,75%,13,288.60,2100,5400,7.28,/
MN3515 KV400,22.2,T-MOTOR 16*5.4CF,85%,16.9,375.18,2630,5850,7.01,/
MN3515 KV400,22.2,T-MOTOR 16*5.4CF,100%,20,444.00,2830,6250,6.37,/
