Type,Voltage (V),Propeller,Throttle,Current (A),Power (W),RPM,Torqu (N*m),Thrust (g),Efficiency (g/W),Operatin Temperature (℃)
MN4004 KV300,24,T-MOTOR 13*4.4CF,50%,0.90,22,3173,0.06,311,14.40,30
MN4004 KV300,24,T-MOTOR 13*4.4CF,55%,1.10,26,3415,0.07,358,13.56,30
MN4004 KV300,24,T-MOTOR 13*4.4CF,60%,1.40,34,3660,0.07,416,12.38,30
MN4004 KV300,24,T-MOTOR 13*4.4CF,65%,1.70,41,3914,0.09,477,11.69,30
MN4004 KV300,24,T-MOTOR 13*4.4CF,75%,2.40,58,4394,0.11,608,10.56,30
MN4004 KV300,24,T-MOTOR 13*4.4CF,85%,3.30,79,4876,0.13,754,9.52,30
MN4004 KV300,24,T-MOTOR 13*4.4CF,100%,4.20,101,5317,0.16,895,8.88,30
MN4004 KV300,24,T-MOTOR 14*4.8CF,50%,1.10,26,3045,0.08,374,14.17,44
MN4004 KV300,24,T-MOTOR 14*4.8CF,55%,1.40,34,3285,0.09,439,13.07,44
MN4004 KV300,24,T-MOTOR 14*4.8CF,60%,1.70,41,3530,0.10,507,12.43,44
MN4004 KV300,24,T-MOTOR 14*4.8CF,65%,2.10,50,3740,0.11,586,11.63,44
MN4004 KV300,24,T-MOTOR 14*4.8CF,75%,3.10,74,4208,0.14,753,10.12,44
MN4004 KV300,24,T-MOTOR 14*4.8CF,85%,4.30,103,4670,0.17,930,9.01,44
MN4004 KV300,24,T-MOTOR 14*4.8CF,100%,5.40,130,5092,0.20,1107,8.54,44
MN4004 KV300,24,T-MOTOR 15*5CF,50%,1.40,34,2860,0.09,474,14.11,56
MN4004 KV300,24,T-MOTOR 15*5CF,55%,1.90,46,3108,0.11,561,12.30,56
MN4004 KV300,24,T-MOTOR 15*5CF,60%,2.30,55,3336,0.12,646,11.70,56
MN4004 KV300,24,T-MOTOR 15*5CF,65%,2.80,67,3540,0.14,727,10.82,56
MN4004 KV300,24,T-MOTOR 15*5CF,75%,4.00,96,3966,0.17,918,9.56,56
MN4004 KV300,24,T-MOTOR 15*5CF,85%,5.60,134,4383,0.20,1110,8.26,56
MN4004 KV300,24,T-MOTOR 15*5CF,100%,7.50,180,4711,0.24,1311,7.28,56
MN4004 KV300,24,T-MOTOR 16*5.4CF,50%,1.80,43,2689,0.11,534,12.36,75
MN4004 KV300,24,T-MOTOR 16*5.4CF,55%,2.30,55,2928,0.13,636,11.52,75
MN4004 KV300,24,T-MOTOR 16*5.4CF,60%,2.90,70,3135,0.15,742,10.66,75
MN4004 KV300,24,T-MOTOR 16*5.4CF,65%,3.50,84,3325,0.17,829,9.87,75
MN4004 KV300,24,T-MOTOR 16*5.4CF,75%,5.10,122,3640,0.20,1028,8.40,75
MN4004 KV300,24,T-MOTOR 16*5.4CF,85%,7.10,170,4000,0.24,1203,7.06,75
MN4004 KV300,24,T-MOTOR 16*5.4CF,100%,8.90,214,4210,0.27,1295,6.06,75
MN4004 KV300,24,T-MOTOR 17*5.8CF,50%,2.10,50,2600,0.13,586,11.63,HOT
MN4004 KV300,24,T-MOTOR 17*5.8CF,55%,2.70,65,2801,0.15,691,10.66,HOT
MN4004 KV300,24,T-MOTOR 17*5.8CF,60%,3.40,82,2990,0.17,802,9.83,HOT
MN4004 KV300,24,T-MOTOR 17*5.8CF,65%,4.10,98,3162,0.19,890,9.04,HOT
MN4004 KV300,24,T-MOTOR 17*5.8CF,75%,5.90,142,3455,0.23,1088,7.68,HOT
MN4004 KV300,24,T-MOTOR 17*5.8CF,85%,8.40,202,3670,0.24,1241,6.16,HOT
MN4004 KV300,24,T-MOTOR 17*5.8CF,100%,10.20,245,3750,0.26,1290,5.27,HOT
MN4004 KV400,24,T-MOTOR 13*4.4CF,50%,1.80,43,3813,0.08,448,10.37,33
MN4004 KV400,24,T-MOTOR 13*4.4CF,55%,2.20,53,4146,0.09,535,10.13,33
MN4004 KV400,24,T-MOTOR 13*4.4CF,60%,2.70,65,4458,0.10,609,9.40,33
MN4004 KV400,24,T-MOTOR 13*4.4CF,65%,3.30,79,4736,0.12,698,8.81,33
MN4004 KV400,24,T-MOTOR 13*4.4CF,75%,4.60,110,5308,0.14,885,8.02,33
MN4004 KV400,24,T-MOTOR 13*4.4CF,85%,6.30,151,5841,0.18,1067,7.06,33
MN4004 KV400,24,T-MOTOR 13*4.4CF,100%,8.20,197,6391,0.21,1311,6.66,33
MN4004 KV400,24,T-MOTOR 14*4.8CF,50%,2.20,53,3623,0.10,566,10.72,54
MN4004 KV400,24,T-MOTOR 14*4.8CF,55%,2.70,65,3915,0.11,670,10.34,54
MN4004 KV400,24,T-MOTOR 14*4.8CF,60%,3.30,79,4175,0.13,766,9.67,54
MN4004 KV400,24,T-MOTOR 14*4.8CF,65%,4.10,98,4448,0.15,872,8.86,54
MN4004 KV400,24,T-MOTOR 14*4.8CF,75%,5.80,139,4941,0.18,1078,7.74,54
MN4004 KV400,24,T-MOTOR 14*4.8CF,85%,7.80,187,5392,0.21,1270,6.78,54
MN4004 KV400,24,T-MOTOR 14*4.8CF,100%,10.40,250,5766,0.24,1521,6.09,54
