Type,Propeller,Throttle,Voltage (V),Current (A),Power (W),RPM,Torque (N*m),Thrust (g),Efficiency (g/W),Operating Temperature (℃)
MN5008 KV170,T-MOTOR P17*5.8CF,40%,47.41,1.17,55,2868,0.13,682,12.34,63
MN5008 KV170,T-MOTOR P17*5.8CF,45%,47.39,1.57,74,3207,0.17,849,11.43,63
MN5008 KV170,T-MOTOR P17*5.8CF,50%,47.36,2.10,100,3588,0.21,1058,10.62,63
MN5008 KV170,T-MOTOR P17*5.8CF,55%,47.34,2.76,131,3952,0.26,1285,9.84,63
MN5008 KV170,T-MOTOR P17*5.8CF,60%,47.31,3.46,164,4279,0.29,1515,9.25,63
MN5008 KV170,T-MOTOR P17*5.8CF,65%,47.28,4.23,200,4579,0.34,1739,8.7,63
MN5008 KV170,T-MOTOR P17*5.8CF,70%,47.24,5.11,242,4872,0.39,1991,8.24,63
MN5008 KV170,T-MOTOR P17*5.8CF,75%,47.21,6.10,288,5172,0.44,2234,7.76,63
MN5008 KV170,T-MOTOR P17*5.8CF,80%,47.17,7.20,340,5465,0.50,2509,7.38,63
MN5008 KV170,T-MOTOR P17*5.8CF,90%,47.08,9.91,466,6025,0.62,3116,6.68,63
MN5008 KV170,T-MOTOR P17*5.8CF,100%,47.03,11.46,539,6294,0.69,3449,6.4,63
MN5008 KV170,T-MOTOR P18*6.1CF,40%,47.39,1.51,71,2807,0.19,868,12.15,89
MN5008 KV170,T-MOTOR P18*6.1CF,45%,47.37,2.05,97,3120,0.24,1096,11.28,89
MN5008 KV170,T-MOTOR P18*6.1CF,50%,47.34,2.74,130,3477,0.29,1343,10.34,89
MN5008 KV170,T-MOTOR P18*6.1CF,55%,47.30,3.63,171,3819,0.36,1633,9.52,89
MN5008 KV170,T-MOTOR P18*6.1CF,60%,47.27,4.57,216,4125,0.42,1926,8.93,89
MN5008 KV170,T-MOTOR P18*6.1CF,65%,47.23,5.63,266,4410,0.48,2229,8.39,89
MN5008 KV170,T-MOTOR P18*6.1CF,70%,47.19,6.73,317,4663,0.53,2519,7.94,89
MN5008 KV170,T-MOTOR P18*6.1CF,75%,47.15,8.01,378,4945,0.60,2821,7.47,89
MN5008 KV170,T-MOTOR P18*6.1CF,80%,47.10,9.48,446,5208,0.67,3156,7.07,89
MN5008 KV170,T-MOTOR P18*6.1CF,90%,46.99,12.85,604,5716,0.81,3807,6.3,89
MN5008 KV170,T-MOTOR P18*6.1CF,100%,46.94,14.63,687,5963,0.87,4100,5.97,89
MN5008 KV340,T-MOTOR P17*5.8CF,40%,23.47,2.88,68,3057,0.16,776,11.5,61
MN5008 KV340,T-MOTOR P17*5.8CF,45%,23.43,3.98,93,3443,0.19,986,10.56,61
MN5008 KV340,T-MOTOR P17*5.8CF,50%,23.38,5.33,125,3835,0.24,1224,9.82,61
MN5008 KV340,T-MOTOR P17*5.8CF,55%,23.33,6.86,160,4191,0.28,1455,9.09,61
MN5008 KV340,T-MOTOR P17*5.8CF,60%,23.27,8.53,199,4511,0.34,1697,8.55,61
MN5008 KV340,T-MOTOR P17*5.8CF,65%,23.21,10.38,241,4808,0.38,1936,8.03,61
MN5008 KV340,T-MOTOR P17*5.8CF,70%,23.15,12.40,287,5097,0.42,2176,7.58,61
MN5008 KV340,T-MOTOR P17*5.8CF,75%,23.08,14.71,339,5392,0.48,2440,7.19,61
MN5008 KV340,T-MOTOR P17*5.8CF,80%,23.00,17.16,395,5674,0.53,2701,6.85,61
MN5008 KV340,T-MOTOR P17*5.8CF,90%,22.82,23.18,529,6230,0.65,3277,6.2,61
MN5008 KV340,T-MOTOR P17*5.8CF,100%,22.72,26.39,600,6482,0.69,3556,5.93,61
MN5008 KV340,T-MOTOR P18*6.1CF,40%,23.44,3.76,88,2958,0.21,996,11.29,88
MN5008 KV340,T-MOTOR P18*6.1CF,45%,23.39,5.12,120,3314,0.27,1238,10.34,88
MN5008 KV340,T-MOTOR P18*6.1CF,50%,23.33,6.93,162,3677,0.32,1541,9.54,88
MN5008 KV340,T-MOTOR P18*6.1CF,55%,23.26,8.95,208,4013,0.38,1822,8.75,88
MN5008 KV340,T-MOTOR P18*6.1CF,60%,23.19,11.12,258,4303,0.45,2120,8.22,88
MN5008 KV340,T-MOTOR P18*6.1CF,65%,23.11,13.46,311,4579,0.50,2394,7.7,88
MN5008 KV340,T-MOTOR P18*6.1CF,70%,23.04,16.01,369,4846,0.56,2675,7.26,88
MN5008 KV340,T-MOTOR P18*6.1CF,75%,22.95,18.83,432,5111,0.62,2966,6.86,88
