Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Torque (N*m),Operating Temperature (℃)
MN5212 KV340,24,T-MOTOR 15*5CF,50%,3.3,79.0,745,3821,9.44,0.142,38
MN5212 KV340,24,T-MOTOR 15*5CF,55%,4.2,99.8,910,4220,9.11,0.172,38
MN5212 KV340,24,T-MOTOR 15*5CF,60%,5.2,123.6,1075,4576,8.70,0.198,38
MN5212 KV340,24,T-MOTOR 15*5CF,65%,6.3,150.7,1254,4925,8.32,0.232,38
MN5212 KV340,24,T-MOTOR 15*5CF,75%,9.1,217.2,1681,5663,7.74,0.31,38
MN5212 KV340,24,T-MOTOR 15*5CF,85%,12.2,292.1,2115,6315,7.24,0.382,38
MN5212 KV340,24,T-MOTOR 15*5CF,100%,17.8,426.7,2746,7167,6.44,0.498,38
MN5212 KV340,24,T-MOTOR 16*5.4CF,50%,3.9,93.4,942,3767,10.09,0.187,49
MN5212 KV340,24,T-MOTOR 16*5.4CF,55%,5.1,121.2,1145,4130,9.45,0.227,49
MN5212 KV340,24,T-MOTOR 16*5.4CF,60%,6.2,149.3,1338,4510,8.96,0.261,49
MN5212 KV340,24,T-MOTOR 16*5.4CF,65%,7.8,188.2,1560,4862,8.29,0.303,49
MN5212 KV340,24,T-MOTOR 16*5.4CF,75%,11.1,266.2,2110,5565,7.93,0.405,49
MN5212 KV340,24,T-MOTOR 16*5.4CF,85%,15.2,363.8,2648,6217,7.28,0.509,49
MN5212 KV340,24,T-MOTOR 16*5.4CF,100%,21.6,518.2,3445,7063,6.65,0.66,49
MN5212 KV340,24,T-MOTOR 17*5.8CF,50%,4.7,112.3,1095,3651,9.75,0.225,53
MN5212 KV340,24,T-MOTOR 17*5.8CF,55%,6.0,144.2,1320,4017,9.15,0.27,53
MN5212 KV340,24,T-MOTOR 17*5.8CF,60%,7.8,187.4,1625,4432,8.67,0.331,53
MN5212 KV340,24,T-MOTOR 17*5.8CF,65%,9.6,230.2,1875,4772,8.15,0.381,53
MN5212 KV340,24,T-MOTOR 17*5.8CF,75%,13.7,327.6,2363,5390,7.21,0.49,53
MN5212 KV340,24,T-MOTOR 17*5.8CF,85%,18.1,434.6,2871,5960,6.61,0.593,53
MN5212 KV340,24,T-MOTOR 17*5.8CF,100%,26.1,626.9,3716,6660,5.93,0.761,53
MN5212 KV340,24,T-MOTOR 18*6.1CF,50%,5.7,137.5,1318,3596,9.58,0.29,74
MN5212 KV340,24,T-MOTOR 18*6.1CF,55%,7.4,178.1,1612,3958,9.05,0.344,74
MN5212 KV340,24,T-MOTOR 18*6.1CF,60%,9.3,222.0,1901,4310,8.56,0.411,74
MN5212 KV340,24,T-MOTOR 18*6.1CF,65%,11.6,278.2,2259,4622,8.12,0.472,74
MN5212 KV340,24,T-MOTOR 18*6.1CF,75%,16.5,395.5,2835,5226,7.17,0.605,74
MN5212 KV340,24,T-MOTOR 18*6.1CF,85%,22.1,531.1,3477,5751,6.55,0.737,74
MN5212 KV340,24,T-MOTOR 18*6.1CF,100%,31.0,744.7,4355,6358,5.85,0.918,74
MN5212 KV420,24,T-MOTOR 15*5CF,50%,6.8,162.2,1204,4976,7.42,0.321,53
MN5212 KV420,24,T-MOTOR 15*5CF,55%,8.7,208.1,1478,5487,7.10,0.278,53
MN5212 KV420,24,T-MOTOR 15*5CF,60%,10.5,521.8,1746,5947,6.94,0.33,53
MN5212 KV420,24,T-MOTOR 15*5CF,65%,12.6,302.2,1983,6376,6.56,0.374,53
MN5212 KV420,24,T-MOTOR 15*5CF,75%,18.8,450.0,2589,7287,5.75,0.493,53
MN5212 KV420,24,T-MOTOR 15*5CF,85%,25.0,599.0,3230,8042,5.39,0.607,53
MN5212 KV420,24,T-MOTOR 15*5CF,100%,36.7,881.3,4175,9091,4.74,0.784,53
MN5212 KV420,24,T-MOTOR 16*5.4CF,50%,8.4,202.3,1530,4815,7.56,0.301,58
MN5212 KV420,24,T-MOTOR 16*5.4CF,55%,10.4,250.6,1795,5210,7.16,0.354,58
MN5212 KV420,24,T-MOTOR 16*5.4CF,60%,13.0,311.5,2160,5642,6.93,0.417,58
MN5212 KV420,24,T-MOTOR 16*5.4CF,65%,15.7,377.3,2433,6032,6.45,0.475,58
MN5212 KV420,24,T-MOTOR 16*5.4CF,75%,22.4,536.9,3150,6811,5.87,0.609,58
MN5212 KV420,24,T-MOTOR 16*5.4CF,85%,29.8,715.7,3818,7489,5.33,0.743,58
MN5212 KV420,24,T-MOTOR 16*5.4CF,100%,44.2,1061.5,4903,8455,4.62,0.965,58
MN5212 KV420,24,T-MOTOR 17*5.8CF,50%,10.5,250.8,1795,4696,7.16,0.376,75
MN5212 KV420,24,T-MOTOR 17*5.8CF,55%,12.8,306.0,2075,5103,6.78,0.442,75
MN5212 KV420,24,T-MOTOR 17*5.8CF,60%,15.9,382.3,2458,5509,6.43,0.514,75
MN5212 KV420,24,T-MOTOR 17*5.8CF,65%,18.9,452.6,2745,5849,6.06,0.576,75
MN5212 KV420,24,T-MOTOR 17*5.8CF,75%,27.2,651.8,3576,6560,5.49,0.747,75
MN5212 KV420,24,T-MOTOR 17*5.8CF,85%,36.4,872.4,4324,7209,4.96,0.892,75
MN5212 KV420,24,T-MOTOR 17*5.8CF,100%,51.6,1237.9,5359,7943,4.33,1.117,75
MN5212 KV420,24,T-MOTOR 18*6.1CF,50%,12.4,296.6,2110,4558,7.11,0.45,84
MN5212 KV420,24,T-MOTOR 18*6.1CF,55%,15.3,366.5,2468,4908,6.73,0.528,84
MN5212 KV420,24,T-MOTOR 18*6.1CF,60%,18.6,446.9,2820,5276,6.31,0.608,84
MN5212 KV420,24,T-MOTOR 18*6.1CF,65%,22.9,549.1,3215,5612,5.86,0.703,84
MN5212 KV420,24,T-MOTOR 18*6.1CF,75%,32.5,779.5,4142,6226,5.31,0.881,84
MN5212 KV420,24,T-MOTOR 18*6.1CF,85%,41.9,1006.1,4885,6785,4.86,1.044,84
MN5212 KV420,24,T-MOTOR 18*6.1CF,100%,59.9,1436.6,5918,7440,4.12,1.278,84
