Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN6007 KV160,T-MOTOR P21*6.3CF,40%,47.95,1287,0.29,2.17,2686,104,12.37,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,42%,47.95,1359,0.30,2.37,2777,113,11.99,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,44%,47.94,1444,0.32,2.58,2864,124,11.69,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,46%,47.93,1539,0.34,2.80,2948,134,11.44,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,48%,47.93,1634,0.36,3.03,3042,145,11.23,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,50%,47.92,1719,0.38,3.30,3129,158,10.86,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,52%,47.92,1842,0.40,3.58,3222,171,10.75,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,54%,47.91,1959,0.43,3.89,3312,186,10.52,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,56%,47.90,2064,0.45,4.19,3395,200,10.30,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,58%,47.90,2166,0.47,4.49,3485,215,10.07,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,60%,47.89,2285,0.50,4.85,3570,232,9.85,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,62%,47.88,2412,0.52,5.17,3648,247,9.75,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,64%,47.88,2519,0.55,5.54,3735,265,9.50,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,66%,47.87,2649,0.58,5.93,3812,284,9.33,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,68%,47.86,2759,0.60,6.32,3892,302,9.12,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,70%,47.84,2958,0.64,6.98,4012,334,8.86,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,80%,47.80,3530,0.77,9.10,4373,435,8.11,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,90%,47.76,4063,0.88,11.38,4728,544,7.47,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P21*6.3CF,100%,47.69,4843,1.06,14.96,5145,713,6.79,55 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,40%,47.94,1497,0.36,2.58,2612,124,12.11,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,42%,47.94,1602,0.38,2.83,2694,136,11.79,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,44%,47.93,1704,0.40,3.11,2774,149,11.44,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,46%,47.93,1806,0.42,3.32,2854,159,11.33,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,48%,47.92,1909,0.45,3.62,2945,174,11.00,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,50%,47.91,2041,0.48,3.98,3023,191,10.70,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,52%,47.90,2139,0.51,4.30,3107,206,10.38,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,54%,47.90,2272,0.54,4.67,3190,224,10.16,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,56%,47.90,2410,0.57,4.99,3275,239,10.09,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,58%,47.88,2533,0.59,5.40,3351,259,9.79,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,60%,47.87,2643,0.62,5.75,3432,275,9.60,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,62%,47.87,2767,0.65,6.17,3511,295,9.37,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,64%,47.86,2910,0.68,6.63,3583,317,9.17,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,66%,47.85,3009,0.71,7.01,3662,336,8.97,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,68%,47.84,3128,0.74,7.49,3736,358,8.73,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,70%,47.83,3273,0.77,7.96,3805,381,8.60,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,80%,47.77,3971,0.93,10.72,4178,512,7.75,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,90%,47.72,4574,1.07,13.50,4498,644,7.10,64 (Ambient Temperature: 22℃)
MN6007 KV160,T-MOTOR P22*6.6CF,100%,47.64,5384,1.26,17.65,4871,841,6.40,64 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,40%,24.31,1342,0.30,4.76,2761,116,11.59,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,42%,24.31,1433,0.32,5.18,2859,126,11.38,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,44%,24.29,1554,0.34,5.73,2952,139,11.16,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,46%,24.28,1657,0.37,6.27,3050,152,10.89,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,48%,24.27,1748,0.39,6.78,3150,165,10.63,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,50%,24.26,1845,0.41,7.39,3245,179,10.29,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,52%,24.25,1961,0.43,8.04,3333,195,10.06,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,54%,24.24,2073,0.46,8.64,3427,209,9.89,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,56%,24.22,2179,0.48,9.37,3518,227,9.60,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,58%,24.21,2307,0.51,10.10,3605,245,9.43,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,60%,24.20,2412,0.53,10.87,3689,263,9.17,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,62%,24.19,2536,0.56,11.54,3773,279,9.09,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,64%,24.17,2657,0.59,12.38,3854,299,8.88,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,66%,24.15,2803,0.62,13.29,3928,321,8.73,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,68%,24.13,2952,0.65,14.45,4039,349,8.47,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,70%,24.11,3065,0.67,15.19,4111,366,8.37,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,80%,24.03,3638,0.80,19.85,4471,477,7.63,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,90%,23.94,4263,0.94,25.23,4809,604,7.06,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P21*6.3CF,100%,23.80,5009,1.10,32.77,5231,780,6.42,51 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,40%,24.30,1573,0.37,5.65,2681,137,11.47,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,42%,24.29,1677,0.39,6.16,2765,150,11.20,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,44%,24.27,1795,0.42,6.81,2858,165,10.86,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,46%,24.26,1895,0.44,7.42,2953,180,10.52,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,48%,24.25,2048,0.48,8.12,3036,197,10.40,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,50%,24.23,2156,0.51,8.83,3120,214,10.08,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,52%,24.22,2264,0.54,9.61,3205,233,9.73,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,54%,24.20,2409,0.57,10.48,3288,254,9.50,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,56%,24.19,2543,0.60,11.17,3369,270,9.41,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,58%,24.17,2666,0.63,12.04,3454,291,9.16,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,60%,24.16,2788,0.66,12.96,3536,313,8.90,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,62%,24.14,2927,0.69,13.85,3608,334,8.76,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,64%,24.12,3061,0.72,14.81,3684,357,8.57,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,66%,24.11,3194,0.75,15.67,3760,378,8.45,62 (Ambient Temperature: 22℃)
MN6007 KV320,T-MOTOR P22*6.6CF,68%,24.09,3300,0.78,16.66,3830,401,8.22,62 (Ambient Temperature: 22℃)
