Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN6007 II KV160,P21*6.3",40%,47.72,1444,0.33,2.64,2930,126,11.45,78
MN6007 II KV160,P21*6.3",42%,47.71,1563,0.36,2.95,3047,141,11.12,78
MN6007 II KV160,P21*6.3",44%,47.72,1760,0.40,3.38,3226,161,10.93,78
MN6007 II KV160,P21*6.3",46%,47.69,1875,0.43,3.78,3322,180,10.41,78
MN6007 II KV160,P21*6.3",48%,47.67,2006,0.46,4.17,3426,199,10.08,78
MN6007 II KV160,P21*6.3",50%,47.66,2125,0.48,4.52,3521,215,9.87,78
MN6007 II KV160,P21*6.3",52%,47.66,2249,0.51,4.88,3621,233,9.67,78
MN6007 II KV160,P21*6.3",54%,47.64,2355,0.53,5.26,3709,251,9.39,78
MN6007 II KV160,P21*6.3",56%,47.63,2488,0.56,5.68,3812,270,9.20,78
MN6007 II KV160,P21*6.3",58%,47.63,2624,0.59,6.15,3905,293,8.96,78
MN6007 II KV160,P21*6.3",60%,47.61,2762,0.62,6.60,4001,314,8.78,78
MN6007 II KV160,P21*6.3",62%,47.60,2892,0.65,7.09,4093,338,8.57,78
MN6007 II KV160,P21*6.3",64%,47.59,3030,0.68,7.61,4192,362,8.36,78
MN6007 II KV160,P21*6.3",66%,47.58,3160,0.71,8.19,4282,390,8.11,78
MN6007 II KV160,P21*6.3",68%,47.57,3243,0.73,8.45,4336,402,8.07,78
MN6007 II KV160,P21*6.3",70%,47.56,3388,0.75,8.97,4429,426,7.94,78
MN6007 II KV160,P21*6.3",80%,47.49,4118,0.92,11.99,4853,569,7.23,78
MN6007 II KV160,P21*6.3",90%,47.42,4889,1.09,15.57,5259,738,6.62,78
MN6007 II KV160,P21*6.3",100%,47.31,5838,1.30,20.67,5716,978,5.97,78
MN6007 II KV160,P22*6.6",40%,47.70,1696,0.40,3.12,2870,149,11.39,83
MN6007 II KV160,P22*6.6",42%,47.69,1833,0.44,3.52,2987,168,10.93,83
MN6007 II KV160,P22*6.6",44%,47.68,2061,0.49,4.18,3165,199,10.35,83
MN6007 II KV160,P22*6.6",46%,47.66,2179,0.51,4.52,3249,216,10.11,83
MN6007 II KV160,P22*6.6",48%,47.65,2316,0.54,4.92,3343,234,9.88,83
MN6007 II KV160,P22*6.6",50%,47.65,2469,0.58,5.40,3448,257,9.60,83
MN6007 II KV160,P22*6.6",52%,47.63,2590,0.61,5.82,3532,277,9.35,83
MN6007 II KV160,P22*6.6",54%,47.62,2737,0.64,6.28,3623,299,9.15,83
MN6007 II KV160,P22*6.6",56%,47.61,2875,0.67,6.76,3706,322,8.93,83
MN6007 II KV160,P22*6.6",58%,47.59,3033,0.71,7.30,3801,348,8.72,83
MN6007 II KV160,P22*6.6",60%,47.58,3168,0.74,7.79,3885,371,8.54,83
MN6007 II KV160,P22*6.6",62%,47.57,3314,0.77,8.39,3976,399,8.30,83
MN6007 II KV160,P22*6.6",64%,47.56,3447,0.80,8.91,4055,424,8.13,83
MN6007 II KV160,P22*6.6",66%,47.55,3618,0.84,9.56,4148,455,7.96,83
MN6007 II KV160,P22*6.6",68%,47.53,3773,0.88,10.17,4229,484,7.80,83
MN6007 II KV160,P22*6.6",70%,47.52,3887,0.90,10.55,4290,501,7.75,83
MN6007 II KV160,P22*6.6",80%,47.45,4641,1.08,14.05,4686,667,6.96,83
MN6007 II KV160,P22*6.6",90%,47.37,5469,1.27,18.10,5046,857,6.38,83
MN6007 II KV160,P22*6.6",100%,47.25,6419,1.49,23.76,5456,1123,5.72,83
MN6007 II KV320,P21*6.3",40%,24.61,1496,0.35,5.55,2988,137,10.95,80
MN6007 II KV320,P21*6.3",42%,24.58,1670,0.39,6.53,3152,160,10.41,80
MN6007 II KV320,P21*6.3",44%,24.57,1763,0.41,7.08,3238,174,10.13,80
MN6007 II KV320,P21*6.3",46%,24.55,1866,0.43,7.64,3331,188,9.95,80
MN6007 II KV320,P21*6.3",48%,24.53,1986,0.45,8.32,3429,204,9.73,80
MN6007 II KV320,P21*6.3",50%,24.51,2111,0.48,9.10,3525,223,9.47,80
