Type,Voltage (V),Propeller,Throttle,Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,40%,1322,0.38,2.02,1972,97,13.64,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,42%,1408,0.41,2.19,2032,105,13.4,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,44%,1513,0.44,2.45,2142,117,12.89,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,46%,1606,0.46,2.64,2207,126,12.7,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,48%,1707,0.48,2.88,2284,138,12.4,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,50%,1807,0.51,3.13,2364,150,12.05,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,52%,1947,0.55,3.51,2460,168,11.6,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,54%,2068,0.58,3.82,2542,183,11.3,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,56%,2164,0.6,4.05,2606,194,11.16,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,58%,2280,0.64,4.39,2699,210,10.87,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,60%,2398,0.67,4.73,2778,226,10.6,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,62%,2507,0.7,5.07,2855,243,10.33,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,64%,2627,0.73,5.45,2926,260,10.08,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,66%,2756,0.76,5.82,2999,278,9.91,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,68%,2888,0.79,6.26,3075,299,9.65,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,70%,3014,0.83,6.71,3136,320,9.4,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,75%,3346,0.91,7.90,3343,377,8.87,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,80%,3605,0.98,8.83,3474,421,8.56,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,90%,4224,1.14,11.29,3758,537,7.86,66 (Ambient Temperature: 20℃)
MN7005 KV115,48,T-MOTOR P24*7.2CF,100%,4783,1.32,14.07,4038,669,7.15,66 (Ambient Temperature: 20℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,40%,1407,0.39,4.40,2023,105,13.44,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,42%,1501,0.42,4.79,2104,114,13.17,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,44%,1592,0.43,5.18,2165,123,12.92,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,46%,1698,0.46,5.71,2266,136,12.51,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,48%,1837,0.49,6.43,2347,152,12.04,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,50%,1951,0.52,7.04,2456,167,11.68,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,52%,2063,0.54,7.65,2531,181,11.39,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,54%,2153,0.57,8.18,2596,194,11.11,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,56%,2261,0.6,8.83,2684,209,10.83,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,58%,2378,0.63,9.53,2762,225,10.56,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,60%,2491,0.65,10.23,2835,241,10.31,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,62%,2605,0.69,10.96,2906,259,10.07,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,64%,2708,0.72,11.60,2967,273,9.9,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,66%,2841,0.75,12.64,3050,297,9.55,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,68%,2948,0.78,13.50,3120,317,9.29,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,70%,3060,0.81,14.31,3182,336,9.1,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,75%,3344,0.89,16.53,3335,387,8.64,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,80%,3632,0.96,18.79,3479,438,8.28,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,90%,4184,1.12,23.77,3763,551,7.59,64 (Ambient Temperature: 21℃)
MN7005 KV230,24,T-MOTOR P24*7.2CF,100%,4691,1.28,29.15,4016,670,6.99,64 (Ambient Temperature: 21℃)
