Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN701S KV135,T-MOTOR P24*7.2,40%,47.87,1875,0.60,3.30,2487,158,11.87,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,42%,47.85,1976,0.65,3.60,2560,172,11.47,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,44%,47.84,2220,0.70,4.20,2692,201,11.05,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,46%,47.82,2380,0.74,4.60,2773,220,10.82,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,48%,47.80,2477,0.80,4.90,2853,234,10.58,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,50%,47.79,2692,0.85,5.50,2972,263,10.24,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,52%,47.76,2812,0.90,6.00,3058,287,9.81,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,54%,47.74,3155,0.95,7.10,3202,339,9.31,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,56%,47.73,3239,1.00,7.40,3273,353,9.17,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,58%,47.70,3387,1.07,8.00,3469,382,8.88,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,60%,47.68,3625,1.13,8.80,3456,420,8.64,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,62%,47.66,3801,1.18,9.40,3517,448,8.48,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,64%,47.63,3934,1.24,10.00,3600,476,8.26,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,66%,47.61,4165,1.29,10.80,3687,514,8.10,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,68%,47.58,4403,1.34,11.60,3755,552,7.98,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,70%,47.55,4628,1.43,12.40,3856,590,7.85,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,75%,47.48,5047,1.54,14.20,4024,674,7.49,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,80%,47.39,5561,1.70,16.30,4221,772,7.20,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,90%,47.22,6515,2.00,21.10,4546,996,6.54,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR P24*7.2,100%,47.03,8011,2.31,28.60,4981,1345,5.96,70 (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,40%,47.78,2774,0.98,5.10,2380,244,11.38,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,42%,47.76,3067,1.04,5.70,2484,272,11.27,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,44%,47.74,3212,1.10,6.50,2568,310,10.35,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,46%,47.71,3378,1.16,6.90,2643,329,10.26,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,48%,47.69,3546,1.24,7.50,2707,358,9.91,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,50%,47.67,3837,1.30,8.30,2812,396,9.70,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,52%,47.64,4094,1.38,9.20,2903,438,9.34,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,54%,47.61,4279,1.46,9.80,2962,467,9.17,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,56%,47.58,4494,1.53,10.60,3037,504,8.91,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,58%,47.53,4943,1.63,12.20,3172,580,8.52,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,60%,47.50,5002,1.71,12.60,3212,599,8.36,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,62%,47.47,5230,1.77,13.50,3285,641,8.16,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,64%,47.44,5470,1.83,14.50,3362,688,7.95,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,66%,47.41,5637,1.89,15.50,3446,735,7.67,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,68%,47.37,5824,1.96,16.40,3516,777,7.50,HOT (Ambient Temperature: 34.5℃)
MN701S KV135,T-MOTOR G26*8.5,70%,47.33,6011,2.04,17.40,3617,824,7.30,HOT (Ambient Temperature: 34.5℃)
