Name,Company,Price ($),Kv,R_in (mOhm),Weight (g),Min Voltage,Max Voltage,Max Current,Max Power,Link,Disc
U3,T-Motor,109.9,700,50,128,8.10,16.80,25,500,https://store.tmotor.com/product/u3-motor-u-power.html,
U5,T-Motor,125.9,400,116,195,8.10,33.60,30,850,https://store.tmotor.com/product/u-power-u5.html,
U7,T-Motor,149.9,280,71,317,8.10,33.60,35,800,https://store.tmotor.com/product/tmotor-u7-v2-motor-u-power.html,
U7,T-Motor,149.9,420,33,296,8.10,33.60,40,1180,https://store.tmotor.com/product/tmotor-u7-v2-motor-u-power.html,
U7,T-Motor,149.9,490,21,299,8.10,33.60,44,1300,https://store.tmotor.com/product/tmotor-u7-v2-motor-u-power.html,
U11-Ⅱ,T-Motor,349.9,120,80,772,32.40,50.40,57.3,2783,https://store.tmotor.com/product/u11-v2-motor-u-power.html,
U13 Ⅱ U13Ⅱ,T-Motor,379.9,130,18,990,27.00,58.80,118,5659,https://store.tmotor.com/product/u13-v2-kv65-motor-u-power.html,
U13 Ⅱ U13Ⅱ,T-Motor,379.9,65,73,975,59.40,105.00,68,6720,https://store.tmotor.com/product/u13-v2-kv65-motor-u-power.html,
U15Ⅱ,T-Motor,689.9,80,17,1740,32.40,100.80,143,8580,https://store.tmotor.com/product/u15-v2-motor-u-power-kv80.html,
U15Ⅱ,T-Motor,689.9,100,12,1740,32.40,100.80,167,9942,https://store.tmotor.com/product/u15-v2-motor-u-power-kv80.html,
U12 II U12Ⅱ,T-Motor,369.9,120,22,778,27.00,58.80,95,4560,https://store.tmotor.com/product/u12-v2-kv60-u-efficiency.html,
U12 II U12Ⅱ,T-Motor,369.9,60,75,803,59.40,105.00,41,4000,https://store.tmotor.com/product/u12-v2-kv60-u-efficiency.html,
U8II lite,T-Motor,299.99,85,225,243,32.40,50.40,19.1,916.8,https://store.tmotor.com/product/u8-lite-kv100-u-efficiency.html,
U8II lite,T-Motor,299.99,100,170,238,32.40,50.40,29.3,1406.4,https://store.tmotor.com/product/u8-lite-kv100-u-efficiency.html,
U8II lite,T-Motor,299.99,150,85,239,16.20,25.20,29.7,712.8,https://store.tmotor.com/product/u8-lite-kv100-u-efficiency.html,
U8II lite,T-Motor,299.99,190,48,243,16.20,25.20,43.7,1048.8,https://store.tmotor.com/product/u8-lite-kv100-u-efficiency.html,
U8lite L,T-Motor,329.9,95,146,280,32.40,50.40,38,1790,https://store.tmotor.com/product/u8lite-l-kv110-u-efficiency.html,
U8lite L,T-Motor,329.9,110,105,282,32.40,50.40,45.8,2140,https://store.tmotor.com/product/u8lite-l-kv110-u-efficiency.html,
U8II,T-Motor,309.99,85,225,277,32.40,50.40,19.1,916.8,https://store.tmotor.com/product/u8-v2-u-efficiency-kv85.html,
U8II,T-Motor,309.99,100,170,272,32.40,50.40,29.3,1406.4,https://store.tmotor.com/product/u8-v2-u-efficiency-kv85.html,
U8II,T-Motor,309.99,150,85,273,16.20,25.20,29.7,712.8,https://store.tmotor.com/product/u8-v2-u-efficiency-kv85.html,
U8II,T-Motor,309.99,190,48,277,16.20,25.20,43.7,1048.8,https://store.tmotor.com/product/u8-v2-u-efficiency-kv85.html,
U8II lite,T-Motor,299.9,100,137.50,253,32.40,50.40,31,1450,https://store.tmotor.com/product/u8-v2-lite-u-efficiency.html,
U8II Pro,T-Motor,309.99,100,137.50,287,32.40,50.40,31,1450,https://store.tmotor.com/product/u8-2-pro-u-efficiency.html,
U10II,T-Motor,339.9,100,101,415,32.40,50.40,32.4,1600,https://store.tmotor.com/product/u10-2-u-efficiency.html,
P60,T-Motor,107.9,170,80,375,16.20,58.80,38,1800,https://store.tmotor.com/product/P60-pin-kv170-p-type.html,
P60,T-Motor,107.9,340,35,375,16.20,33.60,65,1550,https://store.tmotor.com/product/P60-pin-kv170-p-type.html,
P80 ΙΙΙ,T-Motor,199.9,100,48.00,649,16.20,50.40,60,2700,https://store.tmotor.com/product/P80-v3-without-pin-kv100-p-type.html,
P80 ΙΙΙ,T-Motor,199.9,120,38.50,649,16.20,50.40,70,3600,https://store.tmotor.com/product/P80-v3-without-pin-kv100-p-type.html,
MN2806 EVO,T-Motor,49.9,650,201,45,10.80,16.80,16,160,https://store.tmotor.com/product/antigravity-mn2806-evo-motor.html,
MN4004,T-Motor,145.9,300,452,53,10.80,25.20,9,216,https://store.tmotor.com/product/mn4004-kv300-motor-antigravity-type.html,
MN4004,T-Motor,145.9,400,359,53,10.80,25.20,12,300,https://store.tmotor.com/product/mn4004-kv300-motor-antigravity-type.html,
MN4006,T-Motor,149.9,380,194,68,10.80,25.20,16,380,https://store.tmotor.com/product/mn4006-kv380-motor-antigravity-type.html,
MN4006 EVO,T-Motor,159.9,380,159,73,16.20,25.20,18,300,https://store.tmotor.com/product/mn4006-EVO-kv380-motor-antigravity-type.html,
MN5006,T-Motor,84.99,300,125,108,10.80,25.20,20,500,https://store.tmotor.com/product/mn5006-kv300-motor-antigravity-type.html,
MN5006,T-Motor,84.99,450,60,106,10.80,25.20,26,650,https://store.tmotor.com/product/mn5006-kv300-motor-antigravity-type.html,
MN5008,T-Motor,89.99,170,270,128,16.20,50.40,15,720,https://store.tmotor.com/product/mn5008-kv170-motor-antigravity-type.html,
