Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
P60 KV170,48,T-motor 20*6CF,50%,5.4,259.20,2116,4152,8.16,55
P60 KV170,48,T-motor 20*6CF,55%,6.4,307.20,2371,4425,7.72,55
P60 KV170,48,T-motor 20*6CF,60%,7.7,369.60,2762,4709,7.47,55
P60 KV170,48,T-motor 20*6CF,65%,9.3,446.40,3125,5014,7.00,55
P60 KV170,48,T-motor 20*6CF,75%,13.2,633.60,4002,5626,6.32,55
P60 KV170,48,T-motor 20*6CF,85%,17.3,830.40,4821,6177,5.81,55
P60 KV170,48,T-motor 20*6CF,100%,25.4,1219.20,6246,6992,5.12,55
P60 KV170,48,T-motor 22*6.6CF,50%,6.6,316.8,2801,3703,8.84,85
P60 KV170,48,T-motor 22*6.6CF,55%,8.6,412.8,3312,4005,8.02,85
P60 KV170,48,T-motor 22*6.6CF,60%,9.9,475.2,3763,4289,7.92,85
P60 KV170,48,T-motor 22*6.6CF,65%,12.4,595.2,4356,4575,7.32,85
P60 KV170,48,T-motor 22*6.6CF,75%,17.1,820.8,5372,5091,6.54,85
P60 KV170,48,T-motor 22*6.6CF,85%,23.2,1113.6,6582,5635,5.91,85
P60 KV170,48,T-motor 22*6.6CF,100%,34,1632,8414,6374,5.16,85
P60 KV340,24,T-motor 20*6CF,50%,10.4,249.60,1912,3960,7.66,50
P60 KV340,24,T-motor 20*6CF,55%,12.6,302.40,2207,4247,7.30,50
P60 KV340,24,T-motor 20*6CF,60%,14.5,348.00,2472,4491,7.10,50
P60 KV340,24,T-motor 20*6CF,65%,17,408.00,2805,4760,6.88,50
P60 KV340,24,T-motor 20*6CF,75%,23.9,573.60,3493,5292,6.09,50
P60 KV340,24,T-motor 20*6CF,85%,31.5,756.00,4191,5781,5.54,50
P60 KV340,24,T-motor 20*6CF,100%,44.9,1077.60,5302,6470,4.92,50
P60 KV340,24,T-motor 22*6.6CF,50%,14,336,2683,3732,7.99,78
P60 KV340,24,T-motor 22*6.6CF,55%,17.3,415.2,3075,3977,7.41,78
P60 KV340,24,T-motor 22*6.6CF,60%,20.2,484.8,3444,4192,7.10,78
P60 KV340,24,T-motor 22*6.6CF,65%,23,552,3802,4418,6.89,78
P60 KV340,24,T-motor 22*6.6CF,75%,31.1,746.4,4609,4869,6.17,78
P60 KV340,24,T-motor 22*6.6CF,85%,40.5,972,5459,5257,5.62,78
P60 KV340,24,T-motor 22*6.6CF,100%,57.8,1387.2,6762,5827,4.87,78
