Type,Voltage (V),Propeller,Throttle,Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,40%,1172,0.4,2.30,1009,73,16.01,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,42%,1245,0.42,2.40,1043,79,15.82,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,44%,1347,0.46,2.60,1076,86,15.75,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,46%,1448,0.48,2.90,1140,93,15.57,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,48%,1539,0.51,3.10,1193,102,15.09,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,50%,1636,0.54,3.30,1233,109,15.04,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,52%,1749,0.57,3.70,1283,119,14.72,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,54%,1854,0.61,4.00,1337,128,14.44,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,56%,1942,0.65,4.30,1385,139,13.93,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,58%,2058,0.68,4.60,1435,150,13.71,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,60%,2214,0.72,5.00,1484,162,13.7,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,62%,2342,0.76,5.40,1534,174,13.45,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,64%,2445,0.8,5.70,1584,186,13.14,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,66%,2579,0.83,6.10,1631,199,12.98,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,68%,2690,0.88,6.60,1676,213,12.62,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,70%,2820,0.93,7.00,1719,227,12.4,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,75%,3215,1.03,8.10,1823,264,12.17,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,80%,3644,1.19,9.70,1950,314,11.6,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,90%,4272,1.37,12.20,2171,398,10.73,/
U10II KV100,8S (32V),T-MOTOR G29*9.5CF,100%,5059,1.61,15.60,2386,509,9.94,/
