Type,Voltage (V),Propeller,Throttle,Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,40%,2357,0.71,4.25,1978,206,11.45,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,42%,2613,0.78,4.91,2095,238,10.97,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,44%,2882,0.85,5.62,2214,272,10.58,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,46%,3127,0.93,6.33,2312,307,10.19,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,48%,3359,0.98,6.99,2401,338,9.92,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,50%,3595,1.09,7.71,2513,374,9.61,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,52%,3833,1.15,8.47,2608,411,9.33,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,54%,4134,1.25,9.41,2715,456,9.06,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,56%,4422,1.31,10.35,2818,502,8.81,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,58%,4679,1.42,11.26,2914,546,8.56,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,60%,4931,1.49,12.39,3023,601,8.21,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,62%,5361,1.62,13.69,3123,664,8.07,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,64%,5683,1.72,14.97,3245,727,7.82,85 (Ambient Temperature: 19℃)
