Type,Voltage (V),Propeller,Throttle,Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U12Ⅱ KV120,48,"T-MOTOR G30*10.5""",50%,5500,1.9,14.5,2548,696,7.9,96 (Ambient Temperature: 24℃)
U12Ⅱ KV120,48,"T-MOTOR G30*10.5""",55%,7400,2.7,22.5,2971,1080,6.85,96 (Ambient Temperature: 24℃)
U12Ⅱ KV120,48,"T-MOTOR G30*10.5""",60%,8800,3.2,28.3,3202,1358.4,6.48,96 (Ambient Temperature: 24℃)
U12Ⅱ KV120,48,"T-MOTOR G30*10.5""",65%,10200,3.8,34.6,3430,1660.8,6.14,96 (Ambient Temperature: 24℃)
U12Ⅱ KV120,48,"T-MOTOR G30*10.5""",75%,13300,5,49.2,3882,2361.6,5.63,96 (Ambient Temperature: 24℃)
U12Ⅱ KV120,48,"T-MOTOR G30*10.5""",85%,16300,6.2,66.4,4256,3187.2,5.11,96 (Ambient Temperature: 24℃)
U12Ⅱ KV120,48,"T-MOTOR G30*10.5""",100%,20400,7.9,94.3,4742,4526.4,4.51,96 (Ambient Temperature: 24℃)
U12 II KV60,99.57,G29*9.5,40%,5626,2,7.5,2800,747,7.5,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.55,G29*9.5,45%,6236,2.2,8.6,2944,852,7.3,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.51,G29*9.5,50%,6840,2.4,9.7,3086,970,7.1,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.48,G29*9.5,55%,7494,2.7,11.1,3231,1102,6.8,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.45,G29*9.5,60%,8041,2.9,12.3,3358,1220,6.6,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.42,G29*9.5,65%,8758,3.2,13.8,3495,1369,6.4,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.38,G29*9.5,70%,9524,3.5,15.4,3637,1528,6.2,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.32,G29*9.5,75%,10469,3.9,17.6,3814,1747,6,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.29,G29*9.5,80%,11560,4.3,20,4009,1988,5.8,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.14,G29*9.5,90%,14175,5.3,26.6,4435,2636,5.4,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.01,G29*9.5,100%,16668,6.1,33.5,4804,3313,5,90℃ (Ambient Temperature: 24℃)
U12 II KV60,99.72,G30*10.5,40%,5990,2.3,7.9,2670,788,7.6,107℃ (Ambient Temperature: 24℃)
U12 II KV60,99.7,G30*10.5,45%,6631,2.5,9.1,2818,907,7.3,107℃ (Ambient Temperature: 24℃)
U12 II KV60,99.65,G30*10.5,50%,7289,2.8,10.4,2958,1037,7,107℃ (Ambient Temperature: 24℃)
U12 II KV60,99.63,G30*10.5,55%,8053,3.1,11.8,3098,1179,6.8,107℃ (Ambient Temperature: 24℃)
U12 II KV60,99.6,G30*10.5,60%,8744,3.3,13.3,3224,1321,6.6,107℃ (Ambient Temperature: 24℃)
U12 II KV60,99.55,G30*10.5,65%,9657,3.7,15.3,3382,1520,6.4,107℃ (Ambient Temperature: 24℃)
U12 II KV60,99.5,G30*10.5,70%,10598,4.1,17.4,3547,1736,6.1,107℃ (Ambient Temperature: 24℃)
U12 II KV60,99.38,G30*10.5,75%,11775,4.6,20.5,3740,2038,5.8,107℃ (Ambient Temperature: 24℃)
U12 II KV60,99.4,G30*10.5,80%,13186,5.2,23.3,3946,2313,5.7,107℃ (Ambient Temperature: 24℃)
U12 II KV60,99.22,G30*10.5,90%,16096,6.3,31,4348,3078,5.2,107℃ (Ambient Temperature: 24℃)
U12 II KV60,98.99,G30*10.5,100%,19014,7.4,40.4,4709,3997,4.8,107℃ (Ambient Temperature: 24℃)
