Item No,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Eficiency (G/W),Operating Temperature (°C)
U5 KV400,22.2,T-MOTOR 14*4.8CF,50%,3.4,75.48,800,4300,10.6,45
U5 KV400,22.2,T-MOTOR 14*4.8CF,65%,6.3,139.86,1200,5400,8.58,45
U5 KV400,22.2,T-MOTOR 14*4.8CF,75%,8.5,188.7,1500,5900,7.95,45
U5 KV400,22.2,T-MOTOR 14*4.8CF,85%,11.4,253.08,1820,6500,7.19,45
U5 KV400,22.2,T-MOTOR 14*4.8CF,100%,13.7,304.14,2030,6950,6.67,45
U5 KV400,22.2,T-MOTOR 15*5CF,50%,4.3,95.46,990,4200,10.37,50
U5 KV400,22.2,T-MOTOR 15*5CF,65%,7.9,175.38,1490,5200,8.5,50
U5 KV400,22.2,T-MOTOR 15*5CF,75%,11.6,257.52,1900,5700,7.38,50
U5 KV400,22.2,T-MOTOR 15*5CF,85%,14.5,321.9,2220,6200,6.9,50
U5 KV400,22.2,T-MOTOR 15*5CF,100%,17.2,381.84,2480,6500,6.49,50
U5 KV400,22.2,T-MOTOR 16*5.4CF,50%,5.2,115.44,1200,4050,10.4,59
U5 KV400,22.2,T-MOTOR 16*5.4CF,65%,9.4,208.68,1750,4850,8.39,59
U5 KV400,22.2,T-MOTOR 16*5.4CF,75%,13,288.6,2120,5400,7.35,59
U5 KV400,22.2,T-MOTOR 16*5.4CF,85%,16.9,375.18,2650,5850,7.06,59
U5 KV400,22.2,T-MOTOR 16*5.4CF,100%,20,444,2850,6250,6.42,59
