Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Torque (N*m),Operating Temperature (℃)
U7 V2.0 KV280,24,T-MOTOR 18*6.1CF,50%,3.5,84,980,3133,11.67,0.221,56.6
U7 V2.0 KV280,24,T-MOTOR 18*6.1CF,55%,4.6,110,1191,3432,10.79,0.266,56.6
U7 V2.0 KV280,24,T-MOTOR 18*6.1CF,60%,5.8,139,1405,3707,10.09,0.312,56.6
U7 V2.0 KV280,24,T-MOTOR 18*6.1CF,65%,7.3,175,1662,4017,9.49,0.365,56.6
U7 V2.0 KV280,24,T-MOTOR 18*6.1CF,75%,10.3,247,2108,4538,8.53,0.459,56.6
U7 V2.0 KV280,24,T-MOTOR 18*6.1CF,85%,14.2,341,2634,5051,7.73,0.57,56.6
U7 V2.0 KV280,24,T-MOTOR 18*6.1CF,100%,20.5,492,3303,5680,6.71,0.715,56.6
U7 V2.0 KV280,24,T-MOTOR 20*6CF,50%,4.8,115,1267,2992,11.00,0.309,78
U7 V2.0 KV280,24,T-MOTOR 20*6CF,55%,6.3,151,1549,3271,10.24,0.37,78
U7 V2.0 KV280,24,T-MOTOR 20*6CF,60%,8.4,202,1907,3620,9.46,0.454,78
U7 V2.0 KV280,24,T-MOTOR 20*6CF,65%,10.05,241,2124,3843,8.81,0.513,78
U7 V2.0 KV280,24,T-MOTOR 20*6CF,75%,14.24,342,2717,4309,7.95,0.639,78
U7 V2.0 KV280,24,T-MOTOR 20*6CF,85%,19.4,466,3281,4779,7.05,0.785,78
U7 V2.0 KV280,24,T-MOTOR 20*6CF,100%,27.4,658,4078,5263,6.20,0.973,78
U7 V2.0 KV280,24,T-MOTOR 22*6.6CF,50%,6.2,149,1565,2856,10.52,0.408,HOT
U7 V2.0 KV280,24,T-MOTOR 22*6.6CF,55%,8.5,204,1956,3154,9.59,0.519,HOT
U7 V2.0 KV280,24,T-MOTOR 22*6.6CF,60%,10.6,254,2264,3391,8.90,0.588,HOT
U7 V2.0 KV280,24,T-MOTOR 22*6.6CF,65%,13.2,317,2615,3638,8.25,0.676,HOT
U7 V2.0 KV280,24,T-MOTOR 22*6.6CF,75%,18.6,446,3281,4052,7.35,0.835,HOT
U7 V2.0 KV280,24,T-MOTOR 22*6.6CF,85%,25.7,617,3926,4417,6.37,1.007,HOT
U7 V2.0 KV280,24,T-MOTOR 22*6.6CF,100%,35.1,842,4640,4809,5.51,1.209,HOT
U7 V2.0 KV420,22.2,T-MOTOR 15*5CF,50%,6.1,135,1160,4500,8.57,,45
U7 V2.0 KV420,22.2,T-MOTOR 15*5CF,65%,11.7,260,1870,5700,7.20,,45
U7 V2.0 KV420,22.2,T-MOTOR 15*5CF,75%,15.3,340,2260,6300,6.65,,45
U7 V2.0 KV420,22.2,T-MOTOR 15*5CF,85%,20.8,462,2690,6850,5.83,,45
U7 V2.0 KV420,22.2,T-MOTOR 15*5CF,100%,24.7,548,3030,7250,5.53,,45
U7 V2.0 KV420,22.2,T-MOTOR 16*5.4CF,50%,7.3,162,1350,4550,8.33,,47
U7 V2.0 KV420,22.2,T-MOTOR 16*5.4CF,65%,13.6,302,2130,5500,7.05,,47
U7 V2.0 KV420,22.2,T-MOTOR 16*5.4CF,75%,18.6,413,2630,6000,6.37,,47
U7 V2.0 KV420,22.2,T-MOTOR 16*5.4CF,85%,24.2,537,3050,6550,5.68,,47
U7 V2.0 KV420,22.2,T-MOTOR 16*5.4CF,100%,28.7,637,3360,6900,5.27,,47
U7 V2.0 KV420,25,T-MOTOR 17*5.8CF,50%,10,250,1940,4500,7.76,,51
U7 V2.0 KV420,25,T-MOTOR 17*5.8CF,65%,18.2,455,2880,5700,6.33,,51
U7 V2.0 KV420,25,T-MOTOR 17*5.8CF,75%,25.4,635,3530,6300,5.56,,51
U7 V2.0 KV420,25,T-MOTOR 17*5.8CF,85%,32.9,823,4080,6900,4.96,,51
U7 V2.0 KV420,25,T-MOTOR 17*5.8CF,100%,39.7,993,4560,7200,4.59,,51
U7 V2.0 KV420,25,T-MOTOR 18*6.1CF,50%,12,300,2250,4200,7.50,,59
U7 V2.0 KV420,25,T-MOTOR 18*6.1CF,65%,22.5,563,3330,5200,5.92,,59
U7 V2.0 KV420,25,T-MOTOR 18*6.1CF,75%,31,775,4050,6000,5.23,,59
U7 V2.0 KV420,25,T-MOTOR 18*6.1CF,85%,39.8,995,4500,6200,4.52,,59
U7 V2.0 KV420,25,T-MOTOR 18*6.1CF,100%,47.5,1188,5060,6700,4.26,,59
U7 V2.0 KV490,22.2,T-MOTOR 15*5CF,50%,9.3,206,1600,5300,7.75,,46
U7 V2.0 KV490,22.2,T-MOTOR 15*5CF,65%,18,400,2400,6600,6.01,,46
U7 V2.0 KV490,22.2,T-MOTOR 15*5CF,75%,25.6,568,3060,7500,5.38,,46
U7 V2.0 KV490,22.2,T-MOTOR 15*5CF,85%,33.3,739,3680,8100,4.98,,46
U7 V2.0 KV490,22.2,T-MOTOR 15*5CF,100%,39.8,884,4100,8500,4.64,,46
U7 V2.0 KV490,22.2,T-MOTOR 16*5.4CF,50%,10.3,229,1800,5100,7.87,,48
U7 V2.0 KV490,22.2,T-MOTOR 16*5.4CF,65%,19.5,433,2600,6200,6.01,,48
U7 V2.0 KV490,22.2,T-MOTOR 16*5.4CF,75%,26.6,591,3220,6840,5.45,,48
U7 V2.0 KV490,22.2,T-MOTOR 16*5.4CF,85%,35.2,781,3860,7420,4.94,,48
U7 V2.0 KV490,22.2,T-MOTOR 16*5.4CF,100%,48.1,1068,4620,8000,4.33,,48
U7 V2.0 KV490,14.8,T-MOTOR 17*5.8CF,50%,7.1,105,1100,3500,10.47,,44
U7 V2.0 KV490,14.8,T-MOTOR 17*5.8CF,65%,12.9,191,1720,4300,9.01,,44
U7 V2.0 KV490,14.8,T-MOTOR 17*5.8CF,75%,18.5,274,2190,4900,8.00,,44
U7 V2.0 KV490,14.8,T-MOTOR 17*5.8CF,85%,24.7,366,2600,5300,7.11,,44
U7 V2.0 KV490,14.8,T-MOTOR 17*5.8CF,100%,30.3,448,3000,5640,6.69,,44
U7 V2.0 KV490,14.8,T-MOTOR 18*6.1CF,50%,8.4,124,1280,3420,10.30,,45
U7 V2.0 KV490,14.8,T-MOTOR 18*6.1CF,65%,15.6,231,2020,4200,8.75,,45
U7 V2.0 KV490,14.8,T-MOTOR 18*6.1CF,75%,21.8,323,2500,4650,7.75,,45
U7 V2.0 KV490,14.8,T-MOTOR 18*6.1CF,85%,29,429,2900,5100,6.76,,45
U7 V2.0 KV490,14.8,T-MOTOR 18*6.1CF,100%,34.6,512,3240,5370,6.33,,45
U7 V2.0 KV490,25,T-MOTOR 17*5.8CF,50%,14,350,2260,5000,6.46,,57
U7 V2.0 KV490,25,T-MOTOR 17*5.8CF,65%,25.5,638,3450,6000,5.41,,57
U7 V2.0 KV490,25,T-MOTOR 17*5.8CF,75%,34.8,870,4020,6700,4.62,,57
U7 V2.0 KV490,25,T-MOTOR 17*5.8CF,85%,44.5,1113,4790,7200,4.31,,57
U7 V2.0 KV490,25,T-MOTOR 17*5.8CF,100%,53,1325,5070,7600,3.83,,57
U7 V2.0 KV490,25,T-MOTOR 18*6.1CF,50%,16.8,420,2720,4900,6.48,,60
U7 V2.0 KV490,25,T-MOTOR 18*6.1CF,65%,29.5,738,3850,5400,5.22,,60
U7 V2.0 KV490,25,T-MOTOR 18*6.1CF,75%,40,1000,4510,6000,4.51,,60
U7 V2.0 KV490,25,T-MOTOR 18*6.1CF,85%,50,1250,5080,6300,4.06,,60
U7 V2.0 KV490,25,T-MOTOR 18*6.1CF,100%,62,1550,5600,6800,3.61,,60
