Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U8II Pro KV100,T-MOTO G27*8.8,40%,48,2038,0.61,3.47,1935,165,12.33,90℃
U8II Pro KV100,T-MOTO G27*8.8,45%,48,2542,0.76,4.68,2155,223,11.42,90℃
U8II Pro KV100,T-MOTO G27*8.8,50%,48,3000,0.90,5.95,2330,283,10.60,90℃
U8II Pro KV100,T-MOTO G27*8.8,55%,48,3458,1.03,7.24,2489,344,10.05,90℃
U8II Pro KV100,T-MOTO G27*8.8,60%,47,3956,1.17,8.72,2651,414,9.55,90℃
U8II Pro KV100,T-MOTO G27*8.8,65%,47,4491,1.33,10.43,2808,495,9.08,90℃
U8II Pro KV100,T-MOTO G27*8.8,70%,47,4888,1.44,11.87,2926,561,8.72,90℃
U8II Pro KV100,T-MOTO G27*8.8,75%,47,5442,1.61,13.90,3078,656,8.29,90℃
U8II Pro KV100,T-MOTO G27*8.8,80%,47,5958,1.77,16.05,3220,756,7.88,90℃
U8II Pro KV100,T-MOTO G27*8.8,90%,47,7052,2.09,20.75,3488,973,7.25,90℃
U8II Pro KV100,T-MOTO G27*8.8,100%,47,8442,2.51,27.64,3794,1289,6.55,90℃
U8II Pro KV100,T-MOTOR G28*9.2,40%,47,2260,0.72,3.92,1900,186,12.15,104℃
U8II Pro KV100,T-MOTOR G28*9.2,45%,47,2843,0.90,5.43,2120,257,11.05,104℃
U8II Pro KV100,T-MOTOR G28*9.2,50%,47,3307,1.04,6.71,2277,317,10.43,104℃
U8II Pro KV100,T-MOTOR G28*9.2,55%,47,3787,1.18,8.19,2434,387,9.79,104℃
U8II Pro KV100,T-MOTOR G28*9.2,60%,47,4323,1.33,9.87,2586,466,9.28,104℃
U8II Pro KV100,T-MOTOR G28*9.2,65%,47,4851,1.51,11.71,2729,551,8.81,104℃
U8II Pro KV100,T-MOTOR G28*9.2,70%,47,5396,1.67,13.79,2863,647,8.35,104℃
U8II Pro KV100,T-MOTOR G28*9.2,75%,47,5905,1.83,15.72,2991,736,8.02,104℃
U8II Pro KV100,T-MOTOR G28*9.2,80%,47,6479,1.99,17.96,3120,840,7.71,104℃
U8II Pro KV100,T-MOTOR G28*9.2,90%,47,7663,2.35,23.31,3367,1088,7.04,104℃
U8II Pro KV100,T-MOTOR G28*9.2,100%,47,9122,2.81,31.11,3673,1450,6.29,104℃
