Type,Voltage (V),Propeller,Throttle,Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,40%,1465,0.45,1.80,1584,86,16.96,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,42%,1572,0.48,2.00,1631,96,16.38,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,44%,1717,0.53,2.30,1692,110,15.55,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,46%,1852,0.58,2.60,1748,125,14.84,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,48%,1997,0.6,2.90,1810,139,14.35,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,50%,2140,0.66,3.20,1872,154,13.93,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,52%,2256,0.68,3.40,1928,163,13.82,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,54%,2378,0.71,3.70,1988,178,13.39,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,56%,2528,0.77,4.10,2047,197,12.85,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,58%,2757,0.84,4.60,2124,221,12.49,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,60%,2957,0.9,5.10,2190,245,12.08,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,62%,3027,0.91,5.30,2232,254,11.9,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,64%,3171,0.95,5.70,2287,274,11.59,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,66%,3307,1,6.20,2349,298,11.11,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,68%,3448,1.04,6.60,2384,317,10.88,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,70%,3662,1.08,7.10,2439,341,10.75,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,75%,4043,1.17,8.20,2570,394,10.27,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,80%,4468,1.28,9.50,2680,456,9.8,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,90%,5248,1.47,12.20,2917,586,8.96,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G28*9.2" CF,100%,6352,1.8,16.50,3200,792,8.02,88 (Ambient Temperature: 26.9℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,40%,1696,0.53,2.10,1547,101,16.83,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,42%,1829,0.59,2.40,1607,115,15.88,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,44%,1959,0.63,2.70,1654,130,15.12,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,46%,2119,0.68,3.00,1720,144,14.72,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,48%,2248,0.69,3.20,1767,154,14.64,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,50%,2412,0.78,3.70,1837,178,13.58,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,52%,2610,0.81,4.00,1906,192,13.59,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,54%,2759,0.86,4.40,1958,211,13.06,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,56%,2885,0.89,4.70,2001,226,12.79,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,58%,3193,1.01,5.50,2100,264,12.09,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,60%,3285,1.03,5.80,2139,278,11.8,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,62%,3429,1.07,6.20,2184,298,11.52,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,64%,3561,1.09,6.50,2236,312,11.41,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,66%,3740,1.15,7.10,2285,341,10.97,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,68%,3953,1.28,7.70,2332,370,10.7,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,70%,4094,1.26,8.20,2394,394,10.4,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,75%,4517,1.39,9.50,2506,456,9.91,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,80%,4961,1.49,11.00,2626,528,9.4,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,90%,5875,1.69,14.00,2858,672,8.74,HOT (Ambient Temperature: 27.6℃)
U8lite KV85,12S (48V),T-MOTOR G29*9.5" CF,100%,7130,2.09,19.10,3104,917,7.78,HOT (Ambient Temperature: 27.6℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,40%,1976,0.67,3.10,1919,149,13.28,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,42%,2130,0.71,3.40,1972,163,13.05,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,44%,2430,0.82,4.10,2108,197,12.35,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,46%,2504,0.85,4.40,2154,211,11.86,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,48%,2660,0.89,4.80,2221,230,11.55,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,50%,2894,0.97,5.40,2302,259,11.17,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,52%,3090,1.02,5.90,2381,283,10.91,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,54%,3281,1.08,6.50,2439,312,10.52,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,56%,3439,1.11,6.90,2502,331,10.38,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,58%,3593,1.15,7.40,2573,355,10.12,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,60%,3774,1.19,7.90,2635,379,9.95,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,62%,4026,1.29,8.80,2720,422,9.53,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,64%,4220,1.32,9.30,2773,446,9.45,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,66%,4365,1.35,9.80,2823,470,9.28,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,68%,4532,1.41,10.50,2874,504,8.99,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,70%,4673,1.43,11.00,2938,528,8.85,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,75%,5129,1.55,12.70,3064,610,8.41,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,80%,5635,1.7,14.80,3214,710,7.93,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,90%,6715,1.97,19.20,3494,922,7.29,87 (Ambient Temperature: 27.81℃)
