Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U8lite L- KV95,G29*9.5,40%,48,1725,0.59,2.60,1579,124,13.89,50℃
U8lite L- KV95,G29*9.5,45%,48,2159,0.73,3.56,1761,170,12.69,50℃
U8lite L- KV95,G29*9.5,50%,48,2604,0.87,4.66,1929,222,11.71,50℃
U8lite L- KV95,G29*9.5,55%,48,3092,1.03,5.95,2095,284,10.90,50℃
U8lite L- KV95,G29*9.5,60%,48,3553,1.18,7.22,2247,345,10.31,50℃
U8lite L- KV95,G29*9.5,65%,48,4100,1.36,8.87,2414,423,9.70,50℃
U8lite L- KV95,G29*9.5,70%,48,4573,1.52,10.53,2548,501,9.12,50℃
U8lite L- KV95,G29*9.5,75%,48,5214,1.72,12.74,2705,606,8.61,50℃
U8lite L- KV95,G29*9.5,80%,48,5939,1.95,15.40,2887,732,8.12,50℃
U8lite L- KV95,G29*9.5,90%,47,7191,2.34,20.62,3157,977,7.36,50℃
U8lite L- KV95,G29*9.5,100%,47,8521,2.78,27.00,3439,1276,6.68,50℃
U8lite L- KV95,G30*10.5,40%,48,1998,0.70,3.04,1561,146,13.73,68℃
U8lite L- KV95,G30*10.5,45%,48,2468,0.86,4.12,1735,197,12.54,68℃
U8lite L- KV95,G30*10.5,50%,48,2928,1.03,5.31,1900,253,11.56,68℃
U8lite L- KV95,G30*10.5,55%,48,3427,1.20,6.84,2056,326,10.51,68℃
U8lite L- KV95,G30*10.5,60%,48,3950,1.38,8.35,2201,398,9.93,68℃
U8lite L- KV95,G30*10.5,65%,48,4537,1.58,10.33,2360,492,9.23,68℃
U8lite L- KV95,G30*10.5,70%,48,5016,1.75,12.02,2490,572,8.77,68℃
U8lite L- KV95,G30*10.5,75%,48,5744,1.99,14.64,2635,695,8.26,68℃
U8lite L- KV95,G30*10.5,80%,47,6507,2.25,17.58,2794,834,7.80,68℃
U8lite L- KV95,G30*10.5,90%,47,7932,2.73,24.03,3056,1137,6.97,68℃
U8lite L- KV95,G30*10.5,100%,47,9426,3.25,31.89,3318,1504,6.27,68℃
U8lite L- KV95,G32*11,40%,48,2492,0.93,3.97,1519,190,13.14,87℃
U8lite L- KV95,G32*11,45%,48,3087,1.14,5.39,1681,257,12.01,87℃
U8lite L- KV95,G32*11,50%,48,3672,1.35,6.89,1826,328,11.18,87℃
