Company,Model,Torque (kg.cm),Speed (sec/60°),Weight (g),Price ($),Link
Ace RC,C0915,1.9008,0.08,9.07184,30.99,https://servodatabase.com/servos/all
Ace RC,C1016,1.5984,0.1,9.07184,17.99,https://servodatabase.com/servos/all
Ace RC,DS0606,5.328,0.06,60.10094,83.95,https://servodatabase.com/servos/all
Ace RC,DS1013,12.996,0.11,62.085405,93.99,https://servodatabase.com/servos/all
Ace RC,DS1015,14.5008,0.11,66.054335,96.99,https://servodatabase.com/servos/all
Ace RC,DS1111,8.496,0.16,64.63686,92.99,https://servodatabase.com/servos/all
Ace RC,DS1211,10.7928,0.13,62.085405,79.99,https://servodatabase.com/servos/all
Ace RC,DS1213,9.576,0.16,66.054335,96.99,https://servodatabase.com/servos/all
Ace RC,DS1313,12.4992,0.13,66.054335,74.99,https://servodatabase.com/servos/all
Ace RC,S1807MG,6.8976,0.18,48.477645,39.99,https://servodatabase.com/servos/all
Ace RC,S1903,3.0024,0.19,46.49318,14.99,https://servodatabase.com/servos/all
Ace RC,S1903MG,3.0024,0.19,50.46211,16.99,https://servodatabase.com/servos/all
Ace RC,S2008MG,7.7976,0.21,48.477645,44.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,141MG,3.24,0.2,25.231055,59.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94051Z,1.656,0.15,22.11261,29.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94091Z,1.656,0.1,9.07184,13.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94102Z,3.816,0.16,45.075705,11.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94141Z,4.032,0.16,32.88542,59.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94145Z,2.304,0.07,30.900955,63.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94161Z,10.368,0.18,66.90482,74.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94162Z,10.368,0.18,66.90482,29.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94257Z,7.92,0.06,51.0291,114.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94258Z,10.44,0.09,51.0291,114.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94322Z,4.176,0.15,45.075705,14.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94357Z,9,0.07,58.39997,139.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94358Z,14.4,0.1,58.39997,139.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94359Z,14.4,0.1,61.80191,119.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94360Z,9,0.07,61.80191,109.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94361Z,14.4,0.07,59.817445,109.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94362Z,9,0.07,59.817445,119.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94451Z,7.92,0.12,54.99803,109.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94452Z,6.912,0.09,58.96696,114.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94453Z,8.928,0.14,58.96696,114.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94501Z,1.656,0.19,15.025235,49.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94555Z,2.016,0.17,15.87572,74.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94702,3.312,0.18,40.82328,24.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94722,3.6,0.17,43.941725,29.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94731Z,6.912,0.14,51.0291,74.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94732Z,4.896,0.19,51.0291,89.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94734Z,6.552,0.32,49.044635,63.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94737Z,5.04,0.12,54.99803,87.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94738Z,6.336,0.16,54.99803,74.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94739Z,6.696,0.34,53.013565,59.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94742Z,6.696,0.34,53.013565,44.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94743Z,6.048,0.15,51.0291,44.95,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94746M,6.408,0.08,49.89512,99.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94755Z,5.832,0.11,57.83298,99.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94758Z,8.28,0.06,60.10094,86.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94761Z,4.752,0.12,22.963095,59.99,https://servodatabase.com/servos/all
Airtronics/ Sanwa,94762,6.624,0.22,54.99803,49.99,https://servodatabase.com/servos/all
